Chr,Pos,p-val
1,24952,0.81386
1,26003,0.96048
1,29671,0.50238
1,30712,0.90559
1,46373,0.3163
1,49238,0.64808
1,61191,0.58586
1,81844,0.74046
1,83156,0.49245
1,90280,0.48769
1,92363,0.79527
1,96802,0.99481
1,98213,0.62901
1,138690,0.18592
1,148336,0.66233
1,166728,0.83336
1,183377,0.54269
1,185211,0.79334
1,186170,0.64744
1,225505,0.64563
1,234135,0.55036
1,237230,0.89357
1,242879,0.64931
1,244125,0.9465
1,245030,0.25256
1,281645,0.56853
1,283533,0.41023
1,334437,0.57613
1,335952,0.75794
1,377146,0.53603
1,378633,0.07177
1,382080,0.11463
1,388640,0.34501
1,409034,0.1202
1,423213,0.94404
1,429656,0.31651
1,432637,0.44926
1,439444,0.20621
1,452504,0.41452
1,458739,0.77226
1,465259,0.74626
1,470982,0.67647
1,471895,0.73474
1,477326,0.97933
1,510643,0.23067
1,512411,0.10322
1,554257,0.83932
1,566240,0.47831
1,571427,0.63366
1,595508,0.67153
1,628950,0.55294
1,683307,0.91456
1,688904,0.91007
1,700521,0.41516
1,801884,0.66641
1,807882,0.82026
1,823278,0.83379
1,850106,0.54
1,862022,0.75209
1,875209,0.78333
1,901990,0.90521
1,921362,0.27347
1,925792,0.3244
1,955846,0.64268
1,964146,0.56451
1,974080,0.46381
1,979924,0.75716
1,1006995,0.20067
1,1013994,0.2063
1,1059707,0.92589
1,1097741,0.75327
1,1107228,0.42225
1,1234293,0.40103
1,1237296,0.71115
1,1247422,0.72529
1,1270186,0.88462
1,1271143,0.49653
1,1276908,0.53044
1,1301020,0.48477
1,1302531,0.7899
1,1308879,0.75759
1,1309778,0.94153
1,1314722,0.92237
1,1337697,0.43107
1,1339744,0.59081
1,1344360,0.16883
1,1350243,0.41477
1,1373443,0.91682
1,1379494,0.74319
1,1397232,0.35149
1,1402999,0.9319
1,1423756,0.95989
1,1482285,0.40751
1,1486712,0.66862
1,1490607,0.8471
1,1498823,0.61883
1,1508766,0.43154
1,1513766,0.87076
1,1516846,0.69261
1,1521991,0.55307
1,1531899,0.45518
1,1533882,0.61075
1,1541093,0.51237
1,1549921,0.54408
1,1553130,0.46036
1,1556076,0.14917
1,1580127,0.63687
1,1600224,0.61732
1,1616784,0.87978
1,1619075,0.73518
1,1624141,0.63648
1,1641539,0.95487
1,1653600,0.45116
1,1675532,0.96121
1,1696769,0.72011
1,1722193,0.15081
1,1745945,0.17729
1,1756948,0.07871
1,1786647,0.23365
1,1796956,0.98148
1,1804463,0.39965
1,1866808,0.75388
1,1878694,0.21403
1,1881454,0.39786
1,1887609,0.22383
1,1889374,0.99611
1,1902673,0.34674
1,1905368,0.20434
1,1936927,0.8295
1,1976480,0.78102
1,1990687,0.37292
1,2010584,0.76625
1,2038467,0.44193
1,2039986,0.89326
1,2042156,0.69387
1,2059401,0.47842
1,2065014,0.67004
1,2102513,0.2766
1,2126801,0.52302
1,2136619,0.52008
1,2183554,0.66154
1,2187616,0.08584
1,2194371,0.2997
1,2195303,0.17591
1,2205418,0.58859
1,2211215,0.0072
1,2218064,0.51372
1,2223451,0.31091
1,2230781,0.16044
1,2246694,0.09127
1,2274638,0.26914
1,2275959,0.84281
1,2279828,0.6903
1,2284699,0.35074
1,2287938,0.67274
1,2296433,0.26427
1,2355288,0.09572
1,2364655,0.20982
1,2378119,0.59438
1,2381212,0.1026
1,2384412,0.11098
1,2396176,0.53753
1,2421404,0.93426
1,2426934,0.08536
1,2431330,0.12511
1,2481744,0.24376
1,2489455,0.15208
1,2506568,0.37162
1,2510357,0.97891
1,2523130,0.11172
1,2525149,0.3567
1,2555747,0.60252
1,2560021,0.71263
1,2565976,0.78216
1,2580590,0.17206
1,2601764,0.37428
1,2605265,0.50869
1,2610178,0.14025
1,2611571,0.14535
1,2614460,0.28344
1,2617317,0.21306
1,2626192,0.35582
1,2635762,0.56429
1,2637003,0.532
1,2654324,0.74765
1,2691624,0.38839
1,2705392,0.36222
1,2715338,0.68365
1,2724688,0.86614
1,2753216,0.27485
1,2755143,0.30898
1,2763102,0.52671
1,2769018,0.4113
1,2778279,0.41719
1,2790162,0.61754
1,2791752,0.9402
1,2796266,0.54363
1,2801896,0.58465
1,2812412,0.50346
1,2825569,0.83189
1,2829751,0.81705
1,2892575,0.8625
1,2915019,0.55531
1,2944680,0.77615
1,3031424,0.53164
1,3033126,0.55522
1,3038334,0.75076
1,3051719,0.94365
1,3071924,0.11902
1,3080035,0.65682
1,3099830,0.86229
1,3128484,0.54506
1,3137444,0.17427
1,3160446,0.58747
1,3162076,0.48635
1,3178447,0.29758
1,3237203,0.79303
1,3251994,0.9225
1,3276003,0.66361
1,3281308,0.13906
1,3290574,0.98253
1,3296361,0.47592
1,3300420,0.95437
1,3312803,0.84402
1,3313958,0.97741
1,3320292,0.63584
1,3323142,0.84983
1,3328987,0.77917
1,3333585,0.60612
1,3336772,0.66491
1,3342559,0.95989
1,3345138,0.52835
1,3355052,0.77558
1,3375794,0.5236
1,3378315,0.49611
1,3382442,0.54867
1,3387651,0.47729
1,3404910,0.79452
1,3415315,0.11474
1,3427220,0.57525
1,3458900,0.05691
1,3518783,0.98302
1,3524524,0.84685
1,3530881,0.9225
1,3548683,0.38087
1,3562237,0.86039
1,3571972,0.46872
1,3574425,0.9146
1,3579099,0.26262
1,3581262,0.16491
1,3582745,0.34665
1,3585591,0.29118
1,3589812,0.37718
1,3593529,0.20284
1,3595146,0.67922
1,3597388,0.21719
1,3605511,0.39192
1,3608479,0.8169
1,3621743,0.83125
1,3629512,0.94388
1,3632583,0.63418
1,3649944,0.58721
1,3655869,0.61344
1,3685509,0.31711
1,3687367,0.92838
1,3689171,0.95557
1,3694704,0.84895
1,3698664,0.48405
1,3734020,0.66603
1,3735682,0.5758
1,3764966,0.73103
1,3766042,0.85722
1,3767728,0.74444
1,3783569,0.34754
1,3788872,0.93598
1,3791530,0.45996
1,3796366,0.12526
1,3799569,0.40737
1,3801245,0.94663
1,3802899,0.40737
1,3804490,0.33417
1,3815743,0.38446
1,3828570,0.62306
1,3829800,0.26992
1,3836502,0.30917
1,3859993,0.3627
1,3861711,0.29722
1,3863726,0.20527
1,3871133,0.84818
1,3875155,0.57929
1,3913764,0.40423
1,3917724,0.95611
1,3926357,0.85532
1,3932050,0.4792
1,3937221,0.97834
1,3947231,0.68941
1,3956145,0.85505
1,3986233,0.35794
1,3994984,0.45813
1,4015639,0.64868
1,4023442,0.31419
1,4030428,0.32852
1,4034488,0.52979
1,4036276,0.39062
1,4040493,0.40604
1,4042298,0.09211
1,4062705,0.14779
1,4067425,0.22215
1,4070365,0.46584
1,4075049,0.27074
1,4078329,0.63811
1,4093842,0.08939
1,4101961,0.14162
1,4105666,0.14825
1,4111294,0.27535
1,4112838,0.21837
1,4117729,0.09955
1,4129901,0.23933
1,4136807,0.37553
1,4140959,0.5961
1,4142416,0.75471
1,4166554,0.8828
1,4208905,0.65754
1,4217710,0.94039
1,4230585,0.59162
1,4235320,0.99899
1,4241138,0.92034
1,4286525,0.38896
1,4289439,0.72601
1,4297976,0.65229
1,4306329,0.95389
1,4312808,0.64574
1,4336306,0.79135
1,4346447,0.96857
1,4360884,0.80414
1,4366543,0.61269
1,4374694,0.66226
1,4387206,0.68326
1,4394511,0.29277
1,4408827,0.51565
1,4432428,0.33827
1,4439120,0.07452
1,4442795,0.0756
1,4459620,0.46139
1,4464958,0.37428
1,4467252,0.26817
1,4473179,0.40555
1,4480272,0.51246
1,4482461,0.39655
1,4496361,0.76793
1,4510338,0.42937
1,4536567,0.47122
1,4539492,0.29556
1,4540937,0.88015
1,4554193,0.26081
1,4576595,0.24965
1,4587081,0.96525
1,4600480,0.36702
1,4604586,0.59863
1,4617792,0.18446
1,4637369,0.11544
1,4639482,0.84435
1,4650267,0.82973
1,4656361,0.85376
1,4657790,0.5043
1,4664561,0.48127
1,4676326,0.60886
1,4681959,0.75947
1,4684460,0.64474
1,4716654,0.64666
1,4742194,0.99602
1,4748809,0.38732
1,4762149,0.43881
1,4773298,0.18703
1,4781005,0.88462
1,4789563,0.47542
1,4798023,0.809
1,4799896,0.67083
1,4830227,0.72989
1,4857737,0.8552
1,4862397,0.79662
1,4863611,0.9815
1,4865275,0.75577
1,4888243,0.45792
1,4893026,NaN
1,4895615,0.70734
1,4934180,0.42302
1,4937188,0.81571
1,4948161,0.6742
1,4955131,0.68994
1,4965066,0.53371
1,4976569,0.92696
1,4978353,0.82533
1,4993000,0.70224
1,4997757,0.98713
1,5066554,0.70992
1,5132918,0.93848
1,5137766,0.57634
1,5149033,0.89147
1,5166143,0.85392
1,5181297,0.95106
1,5200744,0.87465
1,5203935,0.53668
1,5206197,0.7077
1,5207243,0.57797
1,5215085,0.58403
1,5219984,0.75521
1,5222865,0.71339
1,5224516,0.946
1,5251363,0.79199
1,5252546,0.83555
1,5261279,0.39146
1,5265412,0.99184
1,5286729,0.83612
1,5313416,0.74632
1,5338663,0.87574
1,5434257,0.41851
1,5466375,0.88674
1,5568956,0.16982
1,5611496,0.94945
1,5647261,0.87348
1,5729824,0.70579
1,5790654,0.41443
1,5901905,0.88003
1,5949964,0.40854
1,5987459,0.04428
1,6052262,0.07911
1,6106278,0.11139
1,6150550,0.15074
1,6193699,0.5075
1,6285536,0.12359
1,6389953,0.7071
1,6428467,0.68435
1,6512082,0.04689
1,6538586,0.27703
1,6613885,0.60166
1,6637139,0.69338
1,6665846,0.29094
1,6708220,0.14635
1,6738583,0.83251
1,6767604,0.2467
1,6849198,0.18968
1,6917089,0.77453
1,6994835,0.64829
1,7071117,0.91849
1,7097380,0.69028
1,7139371,0.88304
1,7167156,0.11644
1,7243107,0.16911
1,7320074,0.89349
1,7374320,0.67123
1,7396867,0.58482
1,7439327,0.83411
1,7477081,0.47254
1,7504231,0.69765
1,7536147,0.43271
1,7572396,0.68721
1,7627267,0.29624
1,7657957,0.43251
1,7687334,0.62593
1,7711214,0.93936
1,7803900,0.73471
1,7845924,0.80558
1,7949304,0.37855
1,7985538,0.3932
1,8029741,0.53179
1,8075001,0.78674
1,8191754,0.55822
1,8285638,0.81548
1,8387058,0.91427
1,8433079,0.77265
1,8533425,0.52055
1,8588978,0.75704
1,8648807,0.89549
1,8687918,0.85002
1,8720452,0.72854
1,8768272,0.82597
1,8797083,0.97053
1,8839942,0.81438
1,8869123,0.84145
1,8892601,0.43127
1,8979855,0.88852
1,9012496,0.63288
1,9062511,0.85192
1,9088305,0.62965
1,9193606,0.76639
1,9219416,0.94514
1,9256932,0.67344
1,9284428,0.74082
1,9313902,0.99493
1,9354998,0.96928
1,9410680,0.97717
1,9489743,0.69645
1,9532415,0.58629
1,9679501,0.6354
1,9707810,0.98943
1,9736511,0.87837
1,9763709,0.22165
1,9822309,0.77404
1,9893154,0.81777
1,9976662,0.70048
1,10015821,0.71066
1,10064358,0.98791
1,10100934,0.72398
1,10123413,0.90128
1,10226830,0.99636
1,10286784,0.77181
1,10323008,0.8434
1,10565577,0.73785
1,10642573,0.86272
1,10689836,0.78954
1,10741865,0.76106
1,10781745,0.99542
1,10813099,0.63537
1,10839867,0.56718
1,10895999,0.99055
1,10981282,0.47845
1,11088014,0.49132
1,11114270,0.57689
1,11166516,0.78983
1,11202606,0.6599
1,11279779,0.6281
1,11302991,0.68788
1,11463541,NaN
1,11615072,0.6662
1,11718596,0.89636
1,11872068,0.60431
1,11941473,0.54876
1,11988400,0.73493
1,12260888,0.85124
1,12937837,0.9945
1,13411319,0.77466
1,14138718,0.9225
1,14193902,0.75245
1,14237127,0.9225
1,14460880,0.72199
1,14522196,0.88417
1,14599403,0.9225
1,14664794,0.74363
1,14901290,0.96652
1,15183989,0.69263
1,16863260,0.79841
1,16940732,0.91426
1,17436477,0.23874
1,17495414,0.91066
1,17642372,0.73414
1,17744551,0.69894
1,17900123,0.43255
1,18443259,0.53831
1,19000262,0.68677
1,19044380,0.5815
1,19301492,0.9225
1,19626913,0.62116
1,19710863,0.7684
1,19775307,0.94829
1,19997024,0.37847
1,20305604,0.91974
1,20362413,0.99575
1,20384801,0.97887
1,20785378,0.5136
1,20892406,0.83325
1,21336814,0.96884
1,21453879,0.85157
1,21705175,0.78573
1,21992016,0.52718
1,22123142,0.73671
1,22279847,0.8657
1,22338107,0.37847
1,22369413,0.9225
1,22425345,0.16909
1,22446750,0.44881
1,22584903,0.88841
1,22792138,0.87879
1,22962093,0.78617
1,23041534,0.76125
1,23147121,0.44881
1,23246736,0.95857
1,23391913,0.9225
1,23561948,0.44881
1,23814920,0.88841
1,23904568,0.3601
1,24154959,0.217
1,24297264,0.41175
1,24565748,0.27442
1,24611011,0.89627
1,24643305,0.37847
1,24685926,0.78171
1,24729115,0.2803
1,24816261,0.78171
1,25019562,0.78171
1,25114399,0.78171
1,25311369,0.46072
1,25358507,0.78434
1,25390596,0.79594
1,25465382,0.23619
1,25626349,0.81027
1,25675205,0.9225
