Chr,Pos,P-val
1,24952,0.364451225
1,26003,0.935127045
1,29671,0.847041765
1,30712,0.871669458
1,37018,0.933300607
1,38482,0.375821843
1,46373,0.861079269
1,49238,0.874239075
1,61191,0.653524769
1,81844,0.478787823
1,83156,0.647757257
1,90280,0.464827357
1,92363,0.544875993
1,96802,0.404656125
1,98213,0.649446628
1,138690,0.336172904
1,148336,0.811383215
1,166728,0.898597484
1,183377,0.906145986
1,185211,0.876369117
1,186170,0.704438256
1,225505,0.777953509
1,234135,0.532826365
1,237230,0.570601961
1,242879,0.414072307
1,244125,0.806464079
1,245030,0.500629445
1,281645,0.87802148
1,283533,0.090572443
1,334437,0.662578285
1,335952,0.200215064
1,368054,0.214270197
1,377146,0.465556707
1,378633,0.888348677
1,382080,0.386541379
1,388640,0.196030847
1,401923,0.364242837
1,409034,0.526909679
1,423213,0.931721669
1,429656,0.081084433
1,432637,0.323140338
1,439444,0.458093227
1,452504,0.82709487
1,458739,0.696543351
1,465259,0.83073548
1,470982,0.809999355
1,471895,0.731858598
1,477326,0.397043509
1,510643,0.807091048
1,512411,0.48752537
1,554257,0.553017935
1,566240,0.785575217
1,571427,0.715538658
1,595508,0.592327786
1,628950,0.108070857
1,683307,0.070916272
1,688904,0.605864673
1,700521,0.150939084
1,801884,0.542203538
1,807882,0.831143144
1,823278,0.153172856
1,832468,0.504200807
1,850106,0.81957149
1,862022,0.281789213
1,875209,0.066004599
1,901990,0.487809336
1,921362,0.92065981
1,925792,0.53191794
1,955846,0.984595499
1,964146,0.496785046
1,974080,0.503153361
1,979924,0.544187049
1,1006995,0.699643181
1,1011973,0.697169196
1,1013994,0.797912829
1,1059707,0.723547882
1,1097741,0.360831284
1,1107228,0.848543298
1,1234293,0.886009215
1,1237296,0.876427915
1,1247422,0.105515323
1,1270186,0.21159233
1,1271143,0.952728828
1,1273914,0.837955771
1,1276908,0.48472342
1,1301020,0.110189722
1,1302531,0.58185304
1,1308879,0.928296641
1,1309778,0.777081617
1,1314722,0.499693156
1,1337697,0.970433564
1,1339744,0.610892319
1,1344360,0.796893685
1,1350243,0.83610918
1,1373443,0.592253583
1,1379494,0.488265625
1,1384749,0.635989695
1,1397232,0.187705431
1,1402999,0.039655611
1,1419229,0.737569068
1,1423756,0.826762976
1,1475349,0.245062444
1,1482285,0.413282383
1,1483918,0.547045528
1,1486712,0.698775137
1,1490607,0.898217228
1,1498823,0.801517212
1,1508766,0.242046042
1,1513766,0.672494476
